epoch,train_loss,val_loss,sel_accuracy,coverage,sel_risk,sel_f1,learning_rate,epoch_time_sec,process_memory_mb,throughput_samples_per_sec
1,0.588758,0.525447,0.944394,0.311432,0.055606,0.526835,0.00010000,50.873,1482.46,8125.71
2,0.526786,0.509922,0.969757,0.303474,0.030243,0.653895,0.00010000,50.693,1482.67,8154.51
3,0.513844,0.502079,0.978380,0.297637,0.021620,0.716135,0.00010000,51.284,1482.81,8060.60
4,0.507716,0.498369,0.928875,0.310936,0.071125,0.523937,0.00010000,46.677,1483.14,8856.11
5,0.501022,0.522038,0.733386,0.085617,0.266614,0.517422,0.00010000,44.037,1482.72,9387.08
6,0.497022,0.489037,0.936019,0.305777,0.063981,0.565119,0.00010000,44.154,1482.76,9362.09
7,0.492919,0.494869,0.947158,0.374934,0.052842,0.549191,0.00010000,44.049,1482.78,9384.46
8,0.491115,0.493627,0.940407,0.364288,0.059593,0.540721,0.00010000,44.109,1482.72,9371.75
9,0.487751,0.501801,0.884848,0.381459,0.115152,0.415678,0.00010000,44.050,1483.12,9384.29
