epoch,train_loss,val_loss,sel_accuracy,coverage,sel_risk,sel_f1,learning_rate,epoch_time_sec,process_memory_mb,throughput_samples_per_sec
1,0.586794,0.527194,0.962125,0.340683,0.037875,0.575251,0.00010000,13.049,2016.49,31678.12
2,0.527255,0.507781,0.970732,0.296610,0.029268,0.668105,0.00010000,10.183,2019.28,40596.20
3,0.512280,0.500841,0.963044,0.387645,0.036956,0.600818,0.00010000,10.032,2020.20,41207.51
4,0.504948,0.496130,0.954085,0.375938,0.045915,0.575160,0.00010000,9.990,2018.67,41378.27
5,0.498275,0.503167,0.961320,0.256251,0.038680,0.660742,0.00010000,10.089,2020.22,40973.16
6,0.496211,0.490967,0.955050,0.365169,0.044950,0.594986,0.00010000,9.959,2019.23,41508.76
7,0.490609,0.492126,0.969099,0.404060,0.030901,0.634983,0.00010000,9.738,2019.75,42449.59
8,0.488366,0.486048,0.963292,0.407491,0.036708,0.619799,0.00010000,9.766,2020.19,42327.92
9,0.486143,0.483559,0.962162,0.427834,0.037838,0.613893,0.00010000,9.600,2019.79,43061.12
10,0.482938,0.483934,0.963895,0.440873,0.036105,0.614965,0.00010000,9.770,2020.14,42312.65
