Model Name,Accuracy,Coverage,Selective Risk,ECE,F1 Score,Conformal Coverage,Conformal Avg Set Size
Baseline,0.7383863356701775,1.0,0.26161366432982247,0.017121823080209316,0.1706985399370169,0.9018638308440862,1.395457265101997
Abstention (Phase 2),0.9438133812467643,0.37070026303609127,0.05618661875323572,0.20682840646502196,0.6051786860689065,0.9011187500705569,1.458811709057247
Exp 1 (Standard),0.9637827489444284,0.4304647723552455,0.03621725105557161,0.21130416592644755,0.6164954179394613,0.9022815276413678,1.3971167631884942
Exp 2 (Grad Accum),0.9630978577029112,0.4463372506519457,0.03690214229708877,0.21723558410701024,0.5986244841815681,0.9017509398177939,1.3489235840643028
Exp 3 (Mixed Prec),0.9665061862608065,0.4361431909777492,0.03349381373919347,0.22813147685431778,0.6290137614678899,0.9013332430205123,1.3320915320441178
Exp 4 (Combined),0.9377930832356389,0.30814734536751676,0.062206916764361075,0.22169156980909327,0.5696908261530664,0.9016719160993892,1.5340648671837076
