epoch,train_loss,val_loss,sel_accuracy,coverage,sel_risk,sel_f1,learning_rate,epoch_time_sec,process_memory_mb,throughput_samples_per_sec
1,0.588549,0.523763,0.950192,0.308023,0.049808,0.553695,0.00010000,14.492,2020.04,28523.78
2,0.526617,0.509926,0.973028,0.315169,0.026972,0.661573,0.00010000,14.597,2019.32,28319.68
3,0.513227,0.501448,0.978181,0.311478,0.021819,0.709179,0.00010000,14.455,2020.29,28597.54
4,0.507358,0.493846,0.941600,0.302525,0.058400,0.572988,0.00010000,14.262,2020.32,28984.90
5,0.501361,0.521487,0.701061,0.070241,0.298939,0.525752,0.00010000,16.950,2019.35,24388.30
6,0.497261,0.489228,0.932317,0.305731,0.067683,0.558632,0.00010000,21.262,2020.29,19442.44
7,0.492879,0.498571,0.949085,0.389124,0.050915,0.544037,0.00010000,22.723,2021.02,18192.01
8,0.490655,0.488398,0.950690,0.350741,0.049310,0.589496,0.00010000,19.747,2020.04,20933.25
9,0.488052,0.503226,0.886114,0.392838,0.113886,0.419000,0.00010000,19.582,2021.06,21110.64
10,0.486384,0.487638,0.961596,0.444170,0.038404,0.597817,0.00010000,20.128,2020.74,20537.82
